0.0203125,0.007454575,0.498461538,0.090206619,0.002662348,0.016193341,0.003367087,0.003617661,0.119163569,0.005951131,0.050384615,0.00574754,0.00934954,0.015394636,0.000454165,0.000125287,0,0.151153846
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165224672,0.020629667,0.279388908,0.03721355,0.010044491,0.01077897,0.007392607,0.020485559,0.006563785,0.015393287,0.069847227,0.028779112,0.025390859,0.030412702,0.006353323,0.001059769,0,0.265041512
0.321189541,0.013594957,0.301685565,0.010623914,0.005758347,0.010507555,0.004500955,0.012422898,0.003252626,0.009264944,0.075421391,0.016998697,0.015152665,0.017329643,0.003364209,0.0000988,0,0.178833281
0.0139,0.0125,0.106,0.0325,0.243,0.0961,0.00451229,0.012041834,0.002392057,0.025279698,0.0424,0.067412527,0.056539539,0.059257786,0.004920027,0.003017254,0,0.218226987
0.0139,0.0125,0.106,0.0325,0.243,0.0961,0.00451229,0.012041834,0.002392057,0.025279698,0.0424,0.067412527,0.056539539,0.059257786,0.004920027,0.003017254,0,0.218226987
0.090136073,0.007036365,0.20116238,0.06817225,0.044895183,0.027406854,0.010263244,0.026557458,0.030000169,0.02776654,0.080464952,0.033038637,0.057135782,0.044112192,0.005333407,0.002144475,0,0.244374038
0.090136073,0.007036365,0.20116238,0.06817225,0.044895183,0.027406854,0.010263244,0.026557458,0.030000169,0.02776654,0.080464952,0.033038637,0.057135782,0.044112192,0.005333407,0.002144475,0,0.244374038
0.020597505,0.008048712,0.084272467,0.127896159,0.026153482,0.023672704,0.017549495,0.018597943,0.050523876,0.074500001,0.033708987,0.08774517,0.053697571,0.044408626,0.002124053,0.004002646,0.010117771,0.312382833
0.020597505,0.008048712,0.084272467,0.127896159,0.026153482,0.023672704,0.017549495,0.018597943,0.050523876,0.074500001,0.033708987,0.08774517,0.053697571,0.044408626,0.002124053,0.004002646,0.010117771,0.312382833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049289644,0.007622221,0.371953571,0.019600922,0.10703614,0.02564623,0.003876579,0.004239634,0.076867187,0.005409001,0.223172143,0.004215359,0.006381404,0.012234386,0.000507659,0.000382561,0,0.081565357
0.049289644,0.007622221,0.371953571,0.019600922,0.10703614,0.02564623,0.003876579,0.004239634,0.076867187,0.005409001,0.223172143,0.004215359,0.006381404,0.012234386,0.000507659,0.000382561,0,0.081565357
0.005741984,0.00204703,0.099783057,0.057831816,0.004596162,0.000740278,0.01260404,0.018243028,0.018436144,0.070944395,0.0721,0.034265222,0.056872673,0.168204069,0.003649893,0.000881897,0,0.37305831
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088973,0.007589717,0.087444987,0.106744608,0.025906186,0.021608369,0.014555403,0.019885333,0.045659238,0.064734338,0.036311943,0.077052859,0.049267231,0.041632296,0.001934538,0.00373261,0.00814886,0.298818484
0.0022203,0.002501319,0.000000278,0.032379937,0.056635131,0.005273586,0.035944524,0.027441899,0.041156209,0.052159294,0.073009475,0.047437729,0.178493679,0.115915438,0.024312631,0.000523274,0,0.304595296
0.1622137,0.003184969,0.614351706,0.023668647,0.029967172,0.013817444,0.00225191,0.003112664,0.020937809,0.0022017,0.079282166,0.003082151,0.0031117,0.004210896,0.000360132,0.000134298,0,0.034110935
0.5551366,0.008825588,0.206490515,0.01495485,0.004237334,0.004847816,0.00313688,0.008689121,0.002733531,0.006524337,0.031922977,0.012175393,0.010752733,0.012822471,0.002660877,0.000411733,0,0.113677245
0.409027847,0.010979654,0.341988747,0,0.003811696,0.011663765,0.004717737,0.010445144,0.003360049,0.004615713,0.085497187,0.006674186,0.004987205,0.006835927,0.002618987,8.00563E-05,0,0.0926961
0.0203125,0.007454575,0.498461538,0.090206619,0.002662348,0.016193341,0.003367087,0.003617661,0.119163569,0.005951131,0.050384615,0.00574754,0.00934954,0.015394636,0.000454165,0.000125287,0,0.151153846
0.0203125,0.007454575,0.498461538,0.090206619,0.002662348,0.016193341,0.003367087,0.003617661,0.119163569,0.005951131,0.050384615,0.00574754,0.00934954,0.015394636,0.000454165,0.000125287,0,0.151153846
