11546.25468,512.0568567,9.308601885,1.47933633,2771.337405,3812.96775,22.39731025,0,0,0,1446.427791,0,238.8919346,0,10416.77244,0,10.30953884,0,17.45970288,0,654.8580101,19.11703348,239.4398413,0
27931.49449,694.2972077,803.2666472,850.1146159,4330.587844,0,5.555115834,5.736316269,0,0,979.9016987,0,8.891658748,872.5784891,639.5365756,0,107.5909371,826.8521377,8.580734971,0,0,2.475931138,423.4134304,0
30702.03085,2471.127639,805.1770754,1321.217973,194.7921003,0,2651.007259,30.6125274,0,0,2389.537784,0,876.2406741,645.3157627,1086.405355,0,87.69745362,554.0966273,717.7881212,0,0,99.79982746,539.0729385,0
11355.25649,1345.285295,472.6417393,439.9504543,4262.584843,1391.625068,4927.444327,10.73490056,7.809254279,1.810350243,898.1156752,0,516.7963973,118.8950503,1406.311245,0,64.95150507,419.5150238,1624.10103,0,1359.011676,11.56188615,69.06945915,0
6753.738461,0.564111243,2102.581087,985.4041564,79.92007992,10.59402194,0,0,0,259.9532864,2065.884186,0,8363.71819,0,0.020944016,0,90.52190404,119.2851782,0,0,117.6540277,0,0,0
606.2310856,606.2310856,0,0,0,0,15824.51162,0,0,0,0,0,4581.147391,0,0,0,0,5029.5371,0,0,0,0,0,0
9041.065385,2091.950726,1507.049344,1108.417242,96.88337887,0,6812.61743,0,0,0,496.8327131,0,2105.121631,341.8827324,91.10593986,0,517.0750808,2130.404453,3283.822886,0,0,0,84.17408913,0
9041.065385,2091.950726,1507.049344,1108.417242,96.88337887,0,6812.61743,0,0,0,496.8327131,0,2105.121631,341.8827324,91.10593986,0,517.0750808,2130.404453,3283.822886,0,0,0,84.17408913,0
17447.8251,4206.578583,1930.579025,513.5075496,81.52751349,6.58805383,1334.006916,0,661.8648596,71.40704491,3237.28282,0,113.9894878,82.35178114,114.6741747,20.47919126,140.9933665,184.1093028,693.9382672,0,514.9852898,0,106.4489658,16.78840204
17447.8251,4206.578583,1930.579025,513.5075496,81.52751349,6.58805383,1334.006916,0,661.8648596,71.40704491,3237.28282,0,113.9894878,82.35178114,114.6741747,20.47919126,140.9933665,184.1093028,693.9382672,0,514.9852898,0,106.4489658,16.78840204
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17255.94085,950.3390971,1253.858892,1234.692367,511.1209001,0,60.82026897,1.274736949,694.0976557,751.8751658,3506.686262,0,1225.124075,117.4658027,115.9933608,1.957330202,548.155968,176.3278633,2.043268002,0,487.3715437,0.973497975,398.589912,0
26438.16925,3364.687548,569.8668995,81.18679718,347.4463557,699.6439974,3458.110517,0,0,0,1549.261795,0,0,18.42382062,1361.091422,0,233.681505,1024.628154,846.0909595,0,831.0084626,187.443326,69.64130456,0
26438.16925,3364.687548,569.8668995,81.18679718,347.4463557,699.6439974,3458.110517,0,0,0,1549.261795,0,0,18.42382062,1361.091422,0,233.681505,1024.628154,846.0909595,0,831.0084626,187.443326,69.64130456,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7767.400301,1137.164023,278.0942933,209.7867438,5277.729922,1739.531335,5344.62022,0,9.761567848,2.262937804,890.968292,0,197.62062,64.2871473,1660.071482,0,44.91649315,266.9403268,1701.526746,0,1698.764595,7.320604678,56.59141515,0
30308.21719,785.8175386,99.32768358,52.59538005,371.457269,394.7527285,153.6458727,12.2320545,0,0,298.728018,0,406.768691,64.22421981,114.6271514,0,10025.1456,41.29308704,24.04187841,72.26843525,7.041709457,2.030497707,0,0
21960.34358,3999.649692,206.6316551,73.45792108,729.5202079,1817.483794,83.2890392,2.220422266,0,0,7562.320234,0,208.354021,25.47875827,490.1249338,0,376.807622,22.86573868,87.16585682,629.6067194,39.55131081,5.257621213,0,0
